Símbolo	Nome	Nome Abreviado	Nome Completo	Tipo de Ativo	Data Mínima	Data Máxima	Visualização	Descrição	Moeda	Exchange	Data de Início	Capitalização de Mercado	Volume em Todas as Moedas	Oferta Circulante	Símbolo Subjacente	Abertura Regular	Data do Primeiro Negócio (UTC)	Dica de Preço	Abertura	Fechamento Anterior	Mínimo do Dia	Máximo do Dia	Fechamento Regular Anterior	Mínimo do Dia Regular	Máximo do Dia Regular	Volume	Volume Regular	Volume Médio	Volume Médio dos Últimos 10 Dias	Volume Diário Médio dos Últimos 10 Dias	Mínimo em 52 Semanas	Máximo em 52 Semanas	Média de 50 Dias	Média de 200 Dias	Moeda de Origem	Moeda de Destino	Último Mercado	Link do CoinMarketCap	Volume em 24 Horas	ID do Quadro de Mensagens	Idade Máxima	X (ex-Twitter)	Nome Completo do Fuso Horário	Nome Abreviado do Fuso Horário	UUID	Série Ativa	Colunas
BNB-USD	BNB	BNB USD	BNB USD	CRYPTOCURRENCY	2017-11-30	2024-11-30	[0.0, 0.011, 0.015, 0.014, 0.015, 0.02, 0.02, 0.02, 0.019, 0.014, 0.013, 0.012, 0.005, 0.007, 0.007, 0.013, 0.025, 0.032, 0.049, 0.049, 0.041, 0.031, 0.022, 0.029, 0.022, 0.019, 0.026, 0.028, 0.017, 0.024, 0.024, 0.022, 0.03, 0.034, 0.044, 0.042, 0.047, 0.057, 0.068, 0.334, 0.482, 1.0, 0.566, 0.484, 0.533, 0.743, 0.619, 0.84, 0.998, 0.819, 0.6, 0.633, 0.686, 0.604, 0.512, 0.349, 0.453, 0.446, 0.454, 0.521, 0.48, 0.393, 0.499, 0.481, 0.506, 0.54, 0.49, 0.383, 0.384, 0.345, 0.342, 0.361, 0.363, 0.499, 0.48, 0.639, 0.972, 0.927, 0.951, 0.932, 0.923, 0.853, 0.909, 0.923, 0.884]	BNB (BNB) is a cryptocurrency . BNB has a current supply of 144,099,742.61447075. The last known price of BNB is 560.03507234 USD and is up 0.61 over the last 24 hours. It is currently trading on 2273 active market(s) with $1,598,237,503.07 traded over the last 24 hours. More information can be found at https://bnbchain.org/en.	USD	CCC	1500940800.0	81855905792.0	1551676544.0	144099728.0	BNB-USD	552.0967	1510185600	2.0	552.0967	552.0967	551.474	568.05035	552.0967	551.474	568.05035	1551676544.0	1551676544.0	1707048824.0	1616702657.0	1616702657.0	223.48683	720.6726	579.2761	572.1642	BNB	USD=X	CoinMarketCap	https://coinmarketcap.com/currencies/bnb	1551676544.0	finmb_BNB_CCC	86400	"""https://twitter.com/bnbchain"""	UTC	UTC	76554644-5242-3b3a-bc65-58d05021333b	True	['Open', 'High', 'Low', 'Close', 'Volume', 'Dividends', 'Stock Splits']
BTC-USD	Bitcoin	Bitcoin USD	Bitcoin USD	CRYPTOCURRENCY	2014-09-30	2024-11-30	[0.002, 0.002, 0.002, 0.001, 0.0, 0.001, 0.0, 0.0, 0.0, 0.001, 0.001, 0.0, 0.0, 0.001, 0.002, 0.003, 0.002, 0.003, 0.003, 0.003, 0.004, 0.006, 0.006, 0.005, 0.006, 0.007, 0.007, 0.01, 0.011, 0.014, 0.012, 0.016, 0.029, 0.032, 0.037, 0.063, 0.058, 0.088, 0.141, 0.196, 0.141, 0.143, 0.095, 0.127, 0.102, 0.087, 0.106, 0.096, 0.09, 0.086, 0.053, 0.05, 0.046, 0.051, 0.055, 0.072, 0.118, 0.149, 0.139, 0.132, 0.114, 0.126, 0.103, 0.098, 0.128, 0.118, 0.087, 0.119, 0.13, 0.125, 0.156, 0.161, 0.149, 0.191, 0.273, 0.405, 0.463, 0.632, 0.825, 0.809, 0.522, 0.49, 0.582, 0.66, 0.613, 0.859, 0.799, 0.648, 0.538, 0.604, 0.637, 0.527, 0.444, 0.275, 0.325, 0.279, 0.27, 0.285, 0.238, 0.23, 0.322, 0.322, 0.397, 0.409, 0.38, 0.425, 0.408, 0.362, 0.376, 0.484, 0.527, 0.591, 0.596, 0.857, 1.0, 0.85, 0.946, 0.878, 0.906, 0.826, 0.887, 0.984, 0.95]	Bitcoin (BTC) is a cryptocurrency launched in 2010. Users are able to generate BTC through the process of mining. Bitcoin has a current supply of 19,777,984. The last known price of Bitcoin is 68,764.79420858 USD and is up 0.35 over the last 24 hours. It is currently trading on 11793 active market(s) with $42,185,731,521.11 traded over the last 24 hours. More information can be found at https://bitcoin.org/.	USD	CCC	1278979200.0	1383593017344.0	42182201344.0	19778062.0	BTC-USD	67785.195	1410912000	2.0	67785.195	67785.195	67462.72	69955.945	67785.195	67462.72	69955.945	42182201344.0	42182201344.0	30809273504.0	35915322145.0	35915322145.0	34545.816	73750.07	65162.926	63471.234	BTC	USD=X	CoinMarketCap	https://coinmarketcap.com/currencies/bitcoin	42182201344.0	finmb_BTC_CCC	86400		UTC	UTC	74397779-1589-3270-8c45-b7f1a7345b3a	True	['Open', 'High', 'Low', 'Close', 'Volume', 'Dividends', 'Stock Splits']
ETH-USD	Ethereum	Ethereum USD	Ethereum USD	CRYPTOCURRENCY	2017-11-30	2024-11-30	[0.075, 0.144, 0.224, 0.165, 0.064, 0.124, 0.104, 0.077, 0.072, 0.039, 0.028, 0.02, 0.001, 0.006, 0.0, 0.007, 0.008, 0.012, 0.036, 0.041, 0.025, 0.014, 0.016, 0.017, 0.01, 0.005, 0.016, 0.025, 0.006, 0.022, 0.027, 0.026, 0.053, 0.072, 0.056, 0.062, 0.112, 0.139, 0.267, 0.289, 0.4, 0.589, 0.576, 0.479, 0.537, 0.735, 0.64, 0.924, 1.0, 0.79, 0.571, 0.622, 0.702, 0.58, 0.406, 0.212, 0.348, 0.32, 0.27, 0.324, 0.263, 0.241, 0.327, 0.331, 0.379, 0.391, 0.391, 0.404, 0.387, 0.34, 0.346, 0.378, 0.43, 0.481, 0.481, 0.715, 0.783, 0.642, 0.807, 0.735, 0.691, 0.532, 0.552, 0.532, 0.506]	Ethereum (ETH) is a cryptocurrency . Ethereum has a current supply of 120,416,991.19355078. The last known price of Ethereum is 2,437.23984227 USD and is down -0.53 over the last 24 hours. It is currently trading on 9476 active market(s) with $18,107,340,935.02 traded over the last 24 hours. More information can be found at https://www.ethereum.org/.	USD	CCC	1438905600.0	298082238464.0	18310819840.0	120416992.0	ETH-USD	2396.2073	1510185600	2.0	2396.2073	2396.2073	2381.2517	2475.4167	2396.2073	2381.2517	2475.4167	18310819840.0	18310819840.0	15265529374.0	16933219966.0	16933219966.0	1852.7909	4092.2842	2525.6233	2963.446	ETH	USD=X	CoinMarketCap	https://coinmarketcap.com/currencies/ethereum	18310819840.0	finmb_ETH_CCC	86400	"""https://twitter.com/ethereum"""	UTC	UTC	c32b80a9-b35b-3c25-9500-7c2b54dfcc04	True	['Open', 'High', 'Low', 'Close', 'Volume', 'Dividends', 'Stock Splits']
SOL-USD	Solana	Solana USD	Solana USD	CRYPTOCURRENCY	2020-04-30	2024-11-30	[0.001, 0.0, 0.001, 0.005, 0.02, 0.011, 0.005, 0.007, 0.005, 0.018, 0.06, 0.091, 0.204, 0.155, 0.168, 0.174, 0.519, 0.675, 0.97, 1.0, 0.816, 0.477, 0.475, 0.587, 0.406, 0.217, 0.159, 0.201, 0.148, 0.157, 0.154, 0.065, 0.045, 0.112, 0.103, 0.099, 0.107, 0.097, 0.088, 0.111, 0.092, 0.1, 0.182, 0.282, 0.485, 0.464, 0.601, 0.972, 0.607, 0.793, 0.701, 0.823, 0.648, 0.731, 0.807, 0.755]	Solana (SOL) is a cryptocurrency launched in 2020. Solana has a current supply of 587,810,506.985418 with 470,914,456.8445699 in circulation. The last known price of Solana is 162.04274392 USD and is up 0.75 over the last 24 hours. It is currently trading on 776 active market(s) with $2,912,513,709.51 traded over the last 24 hours. More information can be found at https://solana.com.	USD	CCC	1586476800.0	78409809920.0	3010556928.0	470912416.0	SOL-USD	157.767	1586476800	2.0	157.767	157.767	157.13196	167.02235	157.767	157.13196	167.02235	3010556928.0	3010556928.0	2447077153.0	2838102346.0	2838102346.0	40.31991	209.69606	154.26048	151.36826	SOL		CoinMarketCap		3010556928.0		86400	"""https://twitter.com/solana"""	UTC	UTC	f780e90f-3b82-3fec-b9a7-e0248bb55954	True	['Open', 'High', 'Low', 'Close', 'Volume', 'Dividends', 'Stock Splits']
USDT-USD	Tether USDt	Tether USDt USD	Tether USDt USD	CRYPTOCURRENCY	2017-11-30	2024-11-30	[0.78, 0.943, 0.084, 0.421, 0.494, 0.422, 0.386, 0.432, 0.445, 0.601, 0.478, 0.0, 0.145, 1.0, 0.718, 0.857, 0.486, 0.7, 0.6, 0.171, 0.61, 0.61, 0.624, 0.715, 0.531, 0.451, 0.489, 0.713, 0.582, 0.664, 0.387, 0.46, 0.469, 0.589, 0.517, 0.472, 0.479, 0.487, 0.496, 0.547, 0.465, 0.464, 0.485, 0.472, 0.475, 0.485, 0.47, 0.479, 0.475, 0.471, 0.483, 0.478, 0.476, 0.47, 0.44, 0.418, 0.477, 0.465, 0.466, 0.462, 0.465, 0.451, 0.469, 0.47, 0.469, 0.481, 0.477, 0.467, 0.461, 0.458, 0.472, 0.476, 0.47, 0.453, 0.465, 0.48, 0.466, 0.431, 0.425, 0.402, 0.454, 0.459, 0.457, 0.41, 0.447]	Tether USDt (USDT) is a cryptocurrency and operates on the Ethereum platform. Tether USDt has a current supply of 122,337,925,859.0056 with 120,496,629,333.27373 in circulation. The last known price of Tether USDt is 0.99947933 USD and is up 0.03 over the last 24 hours. It is currently trading on 102337 active market(s) with $66,260,273,917.99 traded over the last 24 hours. More information can be found at https://tether.to.	USD	CCC	1424822400.0	120468742144.0	67719421952.0	120496627712.0	USDT-USD	0.9993792	1510185600	4.0	0.9993792	0.9993792	0.9991932	1.0000787	0.9993792	0.9991932	1.0000787	67719421952.0	67719421952.0	53696668865.0	60260602979.0	60260602979.0	0.996926	1.00363	0.9997056	0.9998233	USDT		CoinMarketCap		67719421952.0		86400	"""https://twitter.com/tether_to"""	UTC	UTC	268f2709-1796-36fa-a782-652510d9c6fa	True	['Open', 'High', 'Low', 'Close', 'Volume', 'Dividends', 'Stock Splits']
