Símbolo	Nome	Tipo de Ativo
AIEC11.SA	Autonomy Edifícios Corporativos Fundo de Investimento Imobiliario	EQUITY
AZOI34.SA	AUTOZONE INCDRN	EQUITY
A1VB34.SA	AvalonBay Communities, Inc.	EQUITY
A2XO34.SA	Axon Enterprise, Inc.	EQUITY
AZIN11.SA	Az Quest Infra-Yield Ii Fundo De Investimento Em Participacoes Em Infraestrutura	EQUITY
AAZQ11.SA	Az Quest Sole Fundo De Investimento Nas Cadeias Produtivas Do Agronegocio - Fiagro - Imobiliario	EQUITY
AZEV3.SA	Azevedo & Travassos S.A.	EQUITY
AZEV4.SA	Azevedo & Travassos S.A.	EQUITY
AZUL4.SA	AZUL        PN      N2	EQUITY
AZZA3.SA	AZZAS 2154  ON      NM	EQUITY
BMMT11.SA	B - Index Morningstar Brasil Momento Fundo	EQUITY
B3SA3.SA	B3 S.A. - Brasil, Bolsa, Balcão	EQUITY
BAHI3.SA	BAHEMA      ON      MA	EQUITY
BIDU34.SA	BAIDU INC   DRN	EQUITY
B1LL34.SA	Ball Corporation	EQUITY
ABCB4.SA	ABC BRASIL  PN      N2	EQUITY
BILB34.SA	Banco Bilbao Vizcaya Argentaria, S.A.	EQUITY
BMGB4.SA	BANCO BMG   PN      N1	EQUITY
BBDC3.SA	BRADESCO    ON      N1	EQUITY
BBDC4.SA	BRADESCO    PN      N1	EQUITY
BPAC5.SA	BTGP BANCO  PNA     N2	EQUITY
BPAC3.SA	BTGP BANCO  ON      N2	EQUITY
BPAC11.SA	BTGP BANCO  UNT     N2	EQUITY
BAZA3.SA	Banco da Amazônia S.A.	EQUITY
BBAS3.SA	BRASIL      ON      NM	EQUITY
BGIP4.SA	Banco do Estado de Sergipe S.A.	EQUITY
BRSR5.SA	Banco do Estado do Rio Grande do Sul S.A.	EQUITY
BRSR3.SA	Banco do Estado do Rio Grande do Sul S.A.	EQUITY
BRSR6.SA	Banco do Estado do Rio Grande do Sul S.A.	EQUITY
BNBR3.SA	Banco do Nordeste do Brasil S.A.	EQUITY
BMIN4.SA	Banco Mercantil de Investimentos S.A.	EQUITY
BMEB4.SA	Banco Mercantil do Brasil S.A.	EQUITY
BMEB3.SA	Banco Mercantil do Brasil S.A.	EQUITY
BPAN4.SA	BANCO PAN   PN      N1	EQUITY
PINE3.SA	PINE        ON      N2	EQUITY
PINE4.SA	PINE        PN      N2	EQUITY
SANB11.SA	Banco Santander (Brasil) S.A.	EQUITY
SANB3.SA	Banco Santander (Brasil) S.A.	EQUITY
SANB4.SA	Banco Santander (Brasil) S.A.	EQUITY
BCSA34.SA	Banco Santander, S.A.	EQUITY
B1SA34.SA	Banco Santander-Chile	EQUITY
