Símbolo	Nome	Tipo de Ativo
DCRA11.SA	Devant Fundo De Investimento Nas Cadeias Produtivas Agroindustriais - Fiagro-Imobiliario	EQUITY
DPRO11.SA	Devant Properties Fundo De Investimento Imobiliario	EQUITY
DEVA11.SA	Devant Recebiveis Imobiliarios Fundo De Investimento Imobiliario	EQUITY
D1VN34.SA	Devon Energy Corporation	EQUITY
DXCO3.SA	DEXCO       ON      NM	EQUITY
D1EX34.SA	DEXCOM INC  DRN	EQUITY
DEXP3.SA	Dexxos Participações S.A.	EQUITY
DEXP4.SA	Dexxos Participações S.A.	EQUITY
DEOP34.SA	DIAGEO PL   DRN	EQUITY
DASA3.SA	Diagnósticos da América S.A.	EQUITY
D2KS34.SA	DICK'S Sporting Goods, Inc.	EQUITY
PNVL3.SA	Dimed S.A. Distribuidora de Medicamentos	EQUITY
DIRR3.SA	Direcional Engenharia S.A.	EQUITY
TMF	Direxion Daily 20+ Year Treasury Bull 3X Shares	ETF
YANG	Direxion Daily FTSE China Bear 3X Shares	ETF
DUST	Direxion Daily Gold Miners Index Bear 2X Shares	ETF
SPXS	Direxion Daily S&P 500 Bear 3X Shares	ETF
LABD	Direxion Daily S&P Biotech Bear 3X Shares	ETF
SOXS	Direxion Daily Semiconductor Bear 3X Shares	ETF
SOXL	Direxion Daily Semiconductor Bull 3X Shares	ETF
TZA	Direxion Daily Small Cap Bear 3X Shares	ETF
TECS	Direxion Daily Technology Bear 3X Shares	ETF
TSLL	Direxion Daily TSLA Bull 2X Shares	ETF
D1OC34.SA	DOCUSIGN INCDRN	EQUITY
DOHL3.SA	DOHLER      ON	EQUITY
DOHL4.SA	DOHLER      PN	EQUITY
DGCO34.SA	Dollar General Corporation	EQUITY
D1OM34.SA	Dominion Energy, Inc.	EQUITY
D2PZ34.SA	Domino's Pizza, Inc.	EQUITY
RMAI11.SA	Domo Fundo de Investimento Imobiliário - FII	EQUITY
D2AS34.SA	DOORDASH INCDRN	EQUITY
DOTZ3.SA	DOTZ SA     ON      NM	EQUITY
D1OW34.SA	DOW INC     DRN	EQUITY
^DJI	Dow Jones Industrial Average	INDEX
D2OC34.SA	DOXIMITY INCDRN	EQUITY
R1DY34.SA	Dr. Reddy's Laboratories Limited	EQUITY
D2KN34.SA	DRAFTKINGS  DRN	EQUITY
DUKB34.SA	Duke Energy Corporation	EQUITY
DD	DuPont de Nemours, Inc.	EQUITY
D2TC34.SA	DYNATRACE INDRN	EQUITY
E1TN34.SA	Eaton Corporation plc	EQUITY
EBAY34.SA	EBAY        DRN	EQUITY
EBAY	eBay Inc.	EQUITY
EGAF11.SA	Ecoagro I Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario	EQUITY
E1CL34.SA	ECOLAB INC  DRN	EQUITY
E1CO34.SA	ECOPETROL SADRN	EQUITY
ECOR3.SA	EcoRodovias Infraestrutura e Logística S.A.	EQUITY
E1IX34.SA	Edison International	EQUITY
E1WL34.SA	Edwards Lifesciences Corporation	EQUITY
E2ST34.SA	ELASTIC NV  DRN	EQUITY
EALT3.SA	Electro Aço Altona S.A.	EQUITY
EALT4.SA	Electro Aço Altona S.A.	EQUITY
EAIN34.SA	Electronic Arts Inc.	EQUITY
EA	Electronic Arts Inc.	EQUITY
EKTR4.SA	ELEKTRO     PN  ED	EQUITY
ELMD3.SA	ELETROMIDIA ON      NM	EQUITY
E1LV34.SA	Elevance Health, Inc.	EQUITY
LILY34.SA	Eli Lilly and Company	EQUITY
LLY	Eli Lilly and Company	EQUITY
EPAR3.SA	Embpar Participacoes S.A.	EQUITY
EMBR3.SA	EMBRAER     ON      NM	EQUITY
E1MR34.SA	Emerson Electric Co.	EQUITY
PGMN3.SA	Empreendimentos Pague Menos S.A.	EQUITY
EMAE4.SA	Empresa Metropolitana de Águas e Energia S.A.	EQUITY
EMAE3.SA	Empresa Metropolitana de Águas e Energia S.A.	EQUITY
ENDD11.SA	Endurance Debt Fundo De Investimento Em Participacoes Em Infraestrutura	EQUITY
ENMT4.SA	Energisa Mato Grosso - Distribuidora de Energia S/A	EQUITY
ENGI3.SA	ENERGISA    ON      N2	EQUITY
ENGI4.SA	ENERGISA    PN      N2	EQUITY
ENGI11.SA	ENERGISA    UNT     N2	EQUITY
EGYR11.SA	Energy Resort Fundo De Investimento Imobiliario	EQUITY
ENEV3.SA	ENEVA       ON      NM	EQUITY
EGIE3.SA	Engie Brasil Energia S.A.	EQUITY
ENJU3.SA	ENJOEI      ON      NM	EQUITY
E2NP34.SA	Enphase Energy, Inc.	EQUITY
E2NT34.SA	ENTEGRIS INCDRN ED	EQUITY
E1OG34.SA	EOG Resources, Inc.	EQUITY
E2PA34.SA	EPAM Systems, Inc.	EQUITY
EQIR11.SA	Eqi Recebiveis Imobiliarios Fundo De Investimento Imobiliario	EQUITY
EQTL3.SA	Equatorial Energia S.A.	EQUITY
EQMA3B.SA	Equatorial Maranhão Distribuidora de Energia S.A.	EQUITY
EQPA3.SA	Equatorial Pará Distribuidora de Energia S.A.	EQUITY
EQIX34.SA	EQUINIX INC DRN	EQUITY
E1QN34.SA	EQUINOR ASA DRN	EQUITY
E1QR34.SA	Equity Residential	EQUITY
E1SS34.SA	Essex Property Trust, Inc.	EQUITY
^STOXX50E	EURO STOXX 50                 I	INDEX
ETER3.SA	ETERNIT     ON      NM	EQUITY
BOVB11.SA	ETF Bradesco Ibovespa Fundo De Indice	EQUITY
IMBB11.SA	Etf Bradesco Ima-B Fundo De Indice	EQUITY
B5MB11.SA	ETF Bradesco Ima-B5 Plus Fundo De Indice	EQUITY
NVDQ	T-Rex 2X Inverse NVIDIA Daily Target ETF	ETF
TRIG11.SA	Etf Trigono Teva Acoes Micro Cap / Small Cap Fundo De Indice	EQUITY
ETH-USD	Ethereum USD	CRYPTOCURRENCY
E2TS34.SA	ETSY INC    DRN	EQUITY
EUCA3.SA	Eucatex S.A. Indústria e Comércio	EQUITY
EUCA4.SA	Eucatex S.A. Indústria e Comércio	EQUITY
EURCAD=X	EUR/CAD	CURRENCY
EURCHF=X	EUR/CHF	CURRENCY
EURGBP=X	EUR/GBP	CURRENCY
EURHUF=X	EUR/HUF	CURRENCY
EURJPY=X	EUR/JPY	CURRENCY
EURSEK=X	EUR/SEK	CURRENCY
EURUSD=X	EUR/USD	CURRENCY
^XDE	Euro Currency Index	INDEX
E2EF34.SA	Euronet Worldwide, Inc.	EQUITY
^N100	Euronext 100 Index	INDEX
ERPA11.SA	Europa 105 Fundo Investimento Imobiliario	EQUITY
EVEN3.SA	Even Construtora e Incorporadora S.A.	EQUITY
KEVE11.SA	Even II Kinea Fundo De Investimento Imobiliario	EQUITY
E1VR34.SA	EVERGY INC  DRN	EQUITY
EVTC31.SA	EVERTEC INC DR1 ED	EQUITY
E2XA34.SA	Exact Sciences Corporation	EQUITY
BAUH4.SA	Excelsior Alimentos S.A.	EQUITY
E2XE34.SA	EXELIXIS INCDRN	EQUITY
E1XC34.SA	Exelon Corporation	EQUITY
EXES11.SA	Exes Fundo De Investimento Imobiliario	EQUITY
EXGR34.SA	Expedia Group, Inc.	EQUITY
E1XR34.SA	Extra Space Storage Inc.	EQUITY
EXXO34.SA	Exxon Mobil Corporation	EQUITY
XOM	Exxon Mobil Corporation	EQUITY
EZTC3.SA	EZTEC Empreendimentos e Participações S.A.	EQUITY
F2IC34.SA	Fair Isaac Corporation	EQUITY
FLCR11.SA	Faria Lima Capital Recebiveis Imobiliarios I FII	EQUITY
F1SL34.SA	FASTLY INC  DRN	EQUITY
VRTA11.SA	Fator Veritá Fundo de Investimento Imobiliário - FII	EQUITY
HTMX11.SA	FD Invest Imob Hotel Maxinvest	EQUITY
NCHB11.SA	FDO INV IMOB - FII Nextcap Recebiveis Imobiliarios	EQUITY
SHPH11.SA	FDO INV Imob Shopping Patio Higienopolis	EQUITY
FDXB34.SA	FedEx Corporation	EQUITY
FHER3.SA	Fertilizantes Heringer S.A.	EQUITY
FZDA11.SA	FIAGRO 051  CI	EQUITY
AAGR11.SA	FIAGRO AAGR CI	EQUITY
NEXG11.SA	FIAGRO NEXG CI	EQUITY
RZEO11.SA	FIAGRO RZEO CI	EQUITY
FIEI3.SA	Fica Empreendimentos Imobiliarios S.A	EQUITY
F1NI34.SA	Fidelity National Information Services, Inc.	EQUITY
FSMP.L	Fidelity Sustainable Global Corporate Bond Paris-Aligned Multifactor UCITS ETF GBP Hedged	MUTUALFUND
ABCP11.SA	FII ABC Plaza Shopping Fund	EQUITY
AROA11.SA	FII AROA    CI	EQUITY
BICE11.SA	FII BRIO CRECI	EQUITY
BTAL11.SA	FII Btg Pactual Agro Logistica	EQUITY
ICRI11.SA	FII CI IPCA CI  ER	EQUITY
DAMA11.SA	FII DAMA    CI	EQUITY
DAMT11.SA	FII DIAMANTECI	EQUITY
HGBL11.SA	FII HGBL    CI  ERS	EQUITY
ISCJ11.SA	FII ISCJ    CI  EA	EQUITY
KNUQ11.SA	FII KINEA UNCI  ER	EQUITY
MCEM11.SA	FII MCEM    CI	EQUITY
SMRE11.SA	FII SMRE    CI  ER	EQUITY
VSHO11.SA	FII Votorantim shopping	EQUITY
VRTM11.SA	FII VRTM    CI  ER	EQUITY
ZAVC11.SA	FII ZAVIT C CI	EQUITY
FNOR11.SA	FINOR       CI *	EQUITY
KNOX11.SA	Fip Knox Debt Infraestrutura	EQUITY
FSLR34.SA	First Solar, Inc.	EQUITY
F1IS34.SA	FISERV INC  DRN	EQUITY
F2VR34.SA	Fiverr International Ltd.	EQUITY
FLRY3.SA	FLEURY      ON      NM	EQUITY
F1MC34.SA	FMC CORP    DRN	EQUITY
JCCJ11.SA	FOF JHSF Capital Fundo De Investimento Imobiliario	EQUITY
FMXB34.SA	Fomento Económico Mexicano, S.A.B. de C.V.	EQUITY
FDMO34.SA	Ford Motor Company	EQUITY
F	Ford Motor Company	EQUITY
F1TN34.SA	FORTINET INCDRN	EQUITY
F1TV34.SA	Fortive Corporation	EQUITY
F2NV34.SA	Franco-Nevada Corporation	EQUITY
FRAS3.SA	FRAS,LE     ON      N1	EQUITY
FCXO34.SA	Freeport-McMoRan Inc.	EQUITY
FMSC34.SA	Fresenius Medical Care AG	EQUITY
0P0001CRHZ.SA	FTGF ClearBridge Infrastructure Value Fund	MUTUALFUND
0P0001CRHX.SA	FTGF ClearBridge US Large Cap Growth Fund	MUTUALFUND
0P0001MNY0.SA	FTGF MC European Uncons PR BRL Acc	MUTUALFUND
0P0001CRI0.SA	FTGF Royce US Small Cap Opportunity Fund	MUTUALFUND
^FTSE	FTSE 100	INDEX
^KLSE	FTSE Bursa Malaysia KLCI	INDEX
006208.TW	FUBON ASSET MANAGEMENT CO LTD F	ETF
00665L.TW	Fubon Hang Seng H-Share Leveraged Index ETF	ETF
00671R.TW	Fubon NASDAQ-100 -1X Inverse Index ETF	ETF
00676R.TW	Fubon TAIEX Daily -1X Inverse ETF	ETF
00650L.TW	Fuh Hwa Daily Hang Seng Leveraged 2X ETF	ETF
00712.TW	FUH HWA SECURITIES INVESTMENT T	ETF
00929.TW	Fuh Hwa Taiwan Technology Dividend Highlight ETF	ETF
CXCE11.SA	Fundo de Investimento Caixa Cedae	EQUITY
BLUR11.SA	Fundo De Investimento Imobiliario - Blue Recebiveis Imobiliarios	EQUITY
DVFF11.SA	Fundo De Investimento Imobiliario - Devant Fundo De Fundos Imobiliarios	EQUITY
ANCR11.SA	Fundo de Investimento Imobiliário - FII Ancar IC	EQUITY
FAED11.SA	Fundo de Investimento Imobiliário - FII Anhanguera Educacional	EQUITY
BPFF11.SA	Fundo de Investimento Imobiliário - FII Brasil Plural Absoluto Fundo de Fundos	EQUITY
BRCR11.SA	Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund	EQUITY
EDGA11.SA	Fundo de Investimento Imobiliario - FII Edificio Galeria	EQUITY
FLRP11.SA	Fundo de Investimento Imobiliário - FII Floripa Shopping	EQUITY
HCRI11.SA	Fundo de Investimento Imobiliário - FII Hospital da Criança	EQUITY
RECT11.SA	Fundo De Investimento Imobiliario - FII UBS Office	EQUITY
SPXS11.SA	Fundo De Investimento Imobiliario - Spx Syn Multiestrategia	EQUITY
LVBI11.SA	Fundo De Investimento Imobiliario - VBI Logistico - Cota Fund	EQUITY
APXM11.SA	Fundo De Investimento Imobiliario Apex Malls - FII	EQUITY
FATN11.SA	Fundo De Investimento Imobiliario Athena I	EQUITY
ARRI11.SA	Fundo De Investimento Imobiliario Atrio Reit Recebiveis Imobiliarios	EQUITY
BARI11.SA	Fundo De Investimento Imobiliario Barigui Rendimentos Imobiliario I Fii	EQUITY
CNES11.SA	Fundo De Investimento Imobiliario Bm Cenesp - Fii - Inicio De Negociacao	EQUITY
BPML11.SA	Fundo De Investimento Imobiliario BTG Pactual Shoppings	EQUITY
BTRA11.SA	Fundo De Investimento Imobiliario Btg Pactual Terras Agricolas	EQUITY
CXAG11.SA	Fundo De Investimento Imobiliario Caixa Agencias	EQUITY
CXCI11.SA	Fundo De Investimento Imobiliario Caixa Carteira Imobiliaria	EQUITY
CXCO11.SA	Fundo De Investimento Imobiliario Caixa Imoveis Corporativos	EQUITY
CXTL11.SA	Fundo De Investimento Imobiliário Caixa Trx Logística Renda	EQUITY
FCFL11.SA	Fundo De Investimento Imobiliario Campus Faria Lima - Inicio De Negociacao	EQUITY
IBCR11.SA	Fundo De Investimento Imobiliario De Cri Integral Brei	EQUITY
IDGR11.SA	Fundo De Investimento Imobiliario De Unidades Autonomas II	EQUITY
FAMB11.SA	Fundo de Investimento Imobiliario Edificio Almirante Barroso	EQUITY
EDFO11.SA	Fundo de Investimento Imobiliário Edifício Ourinvest	EQUITY
CEOC11.SA	Fundo de Investimento Imobiliário FII CEO Cyrela Fund	EQUITY
FIGS11.SA	Fundo de Investimento Imobiliário General Shopping Ativo e Renda - FII	EQUITY
GAME11.SA	Fundo De Investimento Imobiliario Guardian Multiestrategia Imobiliaria I	EQUITY
HBCR11.SA	Fundo De Investimento Imobiliario Hbc Renda Urbana	EQUITY
HCTR11.SA	Fundo De Investimento Imobiliario Hectare Ce	EQUITY
HUCG11.SA	Fundo De Investimento Imobiliario Hospital Unimed Campina Grande	EQUITY
HOSI11.SA	Fundo De Investimento Imobiliario Housi	EQUITY
MCHY11.SA	Fundo De Investimento Imobiliario Maua Capital High Yield - FII	EQUITY
MCCI11.SA	Fundo De Investimento Imobiliario Maua Capital Recebiveis Imobiliarios	EQUITY
RBOP11.SA	Fundo De Investimento Imobiliário Mercantil Do Brasil-fii -Inicio	EQUITY
MINT11.SA	Fundo De Investimento Imobiliario Mint Educacional	EQUITY
MGHT11.SA	Fundo De Investimento Imobiliario Mogno Hoteis	EQUITY
VVMR11.SA	Fundo De Investimento ImobiliaRio Multi Renda Urbana	EQUITY
NVHO11.SA	Fundo De Investimento Imobiliario Novo Horizonte	EQUITY
WTSP11.SA	Fundo De Investimento Imobiliario Ourinvest Re I	EQUITY
PABY11.SA	Fundo de Investimento Imobiliário Panamby	EQUITY
PRSV11.SA	Fundo de Investimento Imobiliário Presidente Vargas	EQUITY
FPAB11.SA	Fundo de Investimento Imobiliário Projeto Água Branca	EQUITY
RFOF11.SA	Fundo De Investimento Imobiliario RB Capital I Fundo De Fundos	EQUITY
RELG11.SA	Fundo De Investimento Imobiliario Rec Logistaca	EQUITY
RCRB11.SA	Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa	EQUITY
BMLC11.SA	Fundo de Investimento Imobiliário Rio Bravo Renda Corporativa	EQUITY
RNGO11.SA	Fundo de Investimento Imobiliário Rio Negro	EQUITY
RZTR11.SA	Fundo De Investimento Imobiliario Riza Terrax	EQUITY
FISC11.SA	Fundo De Investimento Imobiliário SC  401	EQUITY
SNEL11.SA	Fundo De Investimento Imobiliario Suno Energias Limpas	EQUITY
CVBI11.SA	Fundo De Investimento Imobiliario VBI Credito	EQUITY
PVBI11.SA	Fundo De Investimento ImobiliarRio Vbi Prime Properties	EQUITY
JGPX11.SA	Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Jgp Credito Fiagro Imobiliario	EQUITY
RZAG11.SA	Fundo De Investimento Nas Cadeias Produtivas Agroindustriais Riza Agro - Fiagro - Imobiliario	EQUITY
NVRP11.SA	Fundo De Investimento Participacoes Nova Raposo	EQUITY
MAXR11.SA	Fundo De Investimentos Imobiliarios - Max Ret	EQUITY
BTCI11.SA	Fundo Infestimento Imobiliario Btg Pactual Credito Imobiliario	EQUITY
RBVA11.SA	Fundo Invest Imobiliario Agencias Caixa - FII Fund	EQUITY
CTXT11.SA	Fundo Invest Imobiliario Centro Textil Internacional - Cotas Fund	EQUITY
WPLZ11.SA	Fundo Investec IMB Shopping West Plaza Fund	EQUITY
RBRR11.SA	Fundo Investimento Imobiliario - FII RBR Rendimento High Grade	EQUITY
RECR11.SA	Fundo Investimento Imobiliario Fii Ubs (Br) Recebveis Imobiliarios	EQUITY
GTWR11.SA	Fundo Investimento Imobiliario Green Towers	EQUITY
HUSC11.SA	Fundo Investimento Imobiliario Hospital Unimed Sul Capixaba	EQUITY
IRDM11.SA	Fundo Investimento Imobiliario Iridium Recebiveis Imobiliarios	EQUITY
FPNG11.SA	Fundo Investimento Imobiliario Pedra Negra Renda Imobiliaria	EQUITY
RBRF11.SA	Fundo Investimento Imobiliario Rbr Alpha Fundos De Fundos	EQUITY
RBRP11.SA	Fundo Investimento Imobiliario Rbr Properties Fii	EQUITY
TGAR11.SA	Fundo Investimento Imobiliario TG Ativo Real	EQUITY
VTLT11.SA	Fundo Investimento Imobiliario Votorantim Logistica	EQUITY
RBRY11.SA	Fundo Investimeto Imobiliario Rbr Private Credito Imobiliario	EQUITY
FMOF11.SA	Fundos de Investimento Imobiliário Memorial Office Of Cotas	EQUITY
FVPQ11.SA	FVPQ - Fii V Parque	EQUITY
G2DI33.SA	G2D Investments, Ltd.	EQUITY
GFSA3.SA	GAFISA      ON      NM	EQUITY
G1LP34.SA	GALAPAGOS NVDRN	EQUITY
GCRA11.SA	Galapagos Recebiveis Do Agronegocio Fiagro Imobiliario	EQUITY
GCRI11.SA	Galapagos Recebiveis Imobiliarios Fundo De Investimento Imobiliario	EQUITY
G1AR34.SA	GARTNER INC DRN	EQUITY
GZIT11.SA	Gazit Malls Fundo De Investimento Imobiliario	EQUITY
GBPJPY=X	GBP/JPY	CURRENCY
GBPUSD=X	GBP/USD	CURRENCY
G1DS34.SA	GDS Holdings Limited	EQUITY
S1YM34.SA	Gen Digital Inc.	EQUITY
GDBR34.SA	General Dynamics Corporation	EQUITY
GEOO34.SA	General Electric Company	EQUITY
GMCO34.SA	General Motors Company	EQUITY
GM	General Motors Company	EQUITY
GSFI11.SA	General Shopping E Outlets Do Brasil Fundo De Investimento Imobiliario FII	EQUITY
GLOG11.SA	Genial Logistica Fundo De Investimento Imobiliario	EQUITY
GPRK34.SA	GEOPARK LTD DRN	EQUITY
GOAU4.SA	Metalurgica Gerdau S.A.	EQUITY
GGBR4.SA	GERDAU      PN      N1	EQUITY
GGBR3.SA	GERDAU      ON      N1	EQUITY
NINJ3.SA	GETNINJAS   ON      NM	EQUITY
GGRC11.SA	Ggr Covipe Renda Fundo Investimento Imobiliario	EQUITY
GILD34.SA	Gilead Sciences, Inc.	EQUITY
BURA39.SA	GX URANIUM  DRE	EQUITY
BOTZ39.SA	GX ROBOTC AIDRE	EQUITY
BSIL39.SA	GX SILVER MNDRE	EQUITY
BEDC39.SA	GX TLMEDC DHDRE	EQUITY
BDVD39.SA	GX SUPDIV USDRE	EQUITY
BCPX39.SA	GX COPPER MNDRE	EQUITY
BBUG39.SA	GX CYBERSECTDRE	EQUITY
BPVE39.SA	GX INFRA DEVDRE	EQUITY
BCHQ39.SA	GX MSCICHINADRE	EQUITY
BLPA39.SA	GX MLP ETF  DRE	EQUITY
BLBT39.SA	GX LITHIUM BDRE	EQUITY
BHER39.SA	GX GAMES SPTDRE	EQUITY
BQYL39.SA	GX NASDAQ100DRE	EQUITY
G1LL34.SA	GLOBE LIFE IDRN	EQUITY
GOLL4.SA	Gol Linhas Aéreas Inteligentes S.A.	EQUITY
G1FI34.SA	Gold Fields Limited	EQUITY
GC=F	Gold Dec 24	FUTURE
GS	Goldman Sachs Group, Inc. (The)	EQUITY
GOOGL	Alphabet Inc.	EQUITY
GPRO34.SA	GOPRO       DRN	EQUITY
GPIV33.SA	GP Investments, Ltd.	EQUITY
GGPS3.SA	GPS Participações e Empreendimentos S.A.	EQUITY
CONL	GraniteShares 2x Long COIN Daily ETF	ETF
NVD	Graniteshares 2x Short NVDA Daily ETF	ETF
CGRA3.SA	Grazziotin S.A.	EQUITY
CGRA4.SA	Grazziotin S.A.	EQUITY
GRND3.SA	GRENDENE    ON      NM	EQUITY
P2CF34.SA	Grupo Aeroportuario del Pacífico, S.A.B. de C.V.	EQUITY
BHIA3.SA	CASAS BAHIA ON      NM	EQUITY
GMAT3.SA	GRUPO MATEUSON      NM	EQUITY
NTCO3.SA	Natura &Co Holding S.A.	EQUITY
RCFA11.SA	Grupo Rcfa Fundo De Investimento	EQUITY
SBFG3.SA	GRUPO SBF   ON      NM	EQUITY
G1SK34.SA	GSK PLC     DRN	EQUITY
GUAR3.SA	Guararapes Confecções S.A.	EQUITY
GARE11.SA	Guardian Logistica Fundo De Investimento Imobiliario	EQUITY
G2WR34.SA	Guidewire Software, Inc.	EQUITY
H1TH34.SA	H World Group Limited	EQUITY
HABT11.SA	Habitat Ii - Fundo De Investimento Imobiliario	EQUITY
HAGA3.SA	HAGA S/A Indústria e Comércio	EQUITY
HAGA4.SA	HAGA S/A Indústria e Comércio	EQUITY
HALI34.SA	Halliburton Company	EQUITY
^HSI	HANG SENG INDEX	INDEX
HAPV3.SA	Hapvida Participações e Investimentos S.A.	EQUITY
H1OG34.SA	Harley-Davidson, Inc.	EQUITY
H1AS34.SA	HASBRO INC  DRN	EQUITY
META11.SA	Hashdex Crypto Metaverse Fundo De Indice	EQUITY
HASH11.SA	Hashdex Nasdaq Crypto Index Fundo De Indice	EQUITY
ETHE11.SA	Hashdex Nasdaq Ethereum Reference Price Fundo De Indice	EQUITY
WEB311.SA	Hashdex Smart Contract Platforms Fundo De Indice	EQUITY
HBRE3.SA	HBR Realty Empreendimentos Imobiliários S.A.	EQUITY
H1CA34.SA	HCA Healthcare, Inc.	EQUITY
H1DB34.SA	HDFC Bank Limited	EQUITY
P1EA34.SA	Healthpeak Properties, Inc.	EQUITY
HCHG11.SA	Hectare Recebiveis High Grade Fundo De Investimento Imobiliario  Fii	EQUITY
HCST11.SA	Hectare Student Housing I - Fundo De Investimento Em Participacoes Multiestrategia	EQUITY
HAAA11.SA	Hedge Aaa Fundo De Investimento Imobiliario	EQUITY
HGBS11.SA	HEDGE Brasil Shopping Fundo de Investimento Imobiliário	EQUITY
HLOG11.SA	Hedge Logistica Fundo Investimento Imobiliario	EQUITY
HOFC11.SA	Hedge Office Income Fundo De Investimento Imobiliario	EQUITY
HPDP11.SA	Hedge Real Estate I Fundo De Investimento Imobliario	EQUITY
HRDF11.SA	Hedge Realty Development Fundo Investimento Imobiliario FII	EQUITY
HREC11.SA	Hedge Recebiveis Fundo De Investimento Imobiliario	EQUITY
HFOF11.SA	Hedge Top Fofii 3 Fundo Investimento Imobilirio	EQUITY
H1EI34.SA	HEICO Corporation	EQUITY
HBOR3.SA	Helbor Empreendimentos S.A.	EQUITY
HETA4.SA	Hercules S.A - Fábrica de Talheres	EQUITY
H1PE34.SA	Hewlett Packard Enterprise Company	EQUITY
H1FC34.SA	HF Sinclair Corporation	EQUITY
HGIC11.SA	Hgi Creditos Imobiliarios Fundo De Investimento	EQUITY
HBSA3.SA	Hidrovias do Brasil S.A.	EQUITY
HGAG11.SA	High Fundo De Investimento Agro - Fiagro - Imobiliario	EQUITY
H1LT34.SA	Hilton Worldwide Holdings Inc.	EQUITY
HOND34.SA	Honda Motor Co., Ltd.	EQUITY
H1RL34.SA	Hormel Foods Corporation	EQUITY
MATD3.SA	Hospital Mater Dei S.A.	EQUITY
NSLU11.SA	Hospital Nossa Senhora De Lourde Fund	EQUITY
H1ST34.SA	Host Hotels & Resorts, Inc.	EQUITY
HOOT4.SA	Hotéis Othon S.A.	EQUITY
ARNC34.SA	Howmet Aerospace Inc.	EQUITY
HPQB34.SA	HP COMPANY  DRN	EQUITY
HPQ	HP Inc.	EQUITY
H1SB34.SA	HSBC Holdings plc	EQUITY
HSAF11.SA	Hsi Ativos Financeiros Fundos Investimentos Imoliarios	EQUITY
HSLG11.SA	Hsi Logistica Fundo De Investimento Imobiliario	EQUITY
HSML11.SA	Hsi Malls Fundo De Investimento Imobiliario	EQUITY
HSRE11.SA	Hsi Renda Imobiliario - Fundo De Investimento Imobiliario	EQUITY
HTEK11.SA	Htek - It Now Morningstar Xt Us Healthcare Fundo De Indice	EQUITY
H2UB34.SA	HUBSPOT INC DRN	EQUITY
H1UM34.SA	HUMANA INC  DRN	EQUITY
H1II34.SA	Huntington Ingalls Industries, Inc.	EQUITY
HYPE3.SA	HYPERA      ON      NM	EQUITY
I1AC34.SA	IAC INTERACTDRN	EQUITY
^BVSP	IBOVESPA	INDEX
^IBX50	IBRX 50	INDEX
I1BN34.SA	ICICI Bank Limited	EQUITY
I1DX34.SA	IDEXX Laboratories, Inc.	EQUITY
^JKSE	IDX COMPOSITE	INDEX
ITIP11.SA	Ifi D Inter Fundo De Investimento Imobiliario	EQUITY
ITIT11.SA	Ifi E Inter Fundo De Investimento Imobiliario	EQUITY
IGTI4.SA	IGUATEMI S.APN      N1	EQUITY
IGTI3.SA	IGUATEMI S.AON      N1	EQUITY
IGTI11.SA	IGUATEMI S.AUNT     N1	EQUITY
I1LM34.SA	ILLUMINA INCDRN	EQUITY
BTSG11.SA	Imob IV Fundo De Investimento Imobiliario	EQUITY
INEP3.SA	Inepar S.A. Indústria e Construções	EQUITY
INEP4.SA	Inepar S.A. Indústria e Construções	EQUITY
I1FO34.SA	INFOSYS LTD DRN ED	EQUITY
IFCM3.SA	Infracommerce CXaaS S.A.	EQUITY
INGG34.SA	ING GROEP   DRN	EQUITY
ITLC34.SA	Intel Corporation	EQUITY
INTC	Intel Corporation	EQUITY
INTB3.SA	Intelbras S.A. - Indústria de Telecomunicação Eletrônica Brasileira	EQUITY
INBR32.SA	Inter & Co, Inc.	EQUITY
IAAG11.SA	Inter Amerra - Fiagro - Imobiliario	EQUITY
GURU11.SA	Inter Eqi Teva Etf Grandes Gurus Do Mercado Fundo De Indice	EQUITY
INLG11.SA	Inter Logistico Fundo De Investimento Imobiliario - FII	EQUITY
INRD11.SA	Inter Residence Fundo DE Investimento Imobiliario FII	EQUITY
BICR11.SA	Inter Titulos Imobiliarios Fundo De Investimento Imobiliario	EQUITY
I1CE34.SA	Intercontinental Exchange, Inc.	EQUITY
IBMB34.SA	International Business Machines Corporation	EQUITY
MEAL3.SA	International Meal Company Alimentação S.A.	EQUITY
I1PC34.SA	International Paper Company	EQUITY
I1SR34.SA	Intuitive Surgical, Inc.	EQUITY
I1VZ34.SA	INVESCO LTD DRN	EQUITY
QQQ	Invesco QQQ Trust, Series 1	ETF
USDB11.SA	Investo Bloomberg Us Bond Etf Fundo De Investimento De indice  Investimento No Exterior	EQUITY
PEVC11.SA	Investo Bluestar Top 10 Us Listed Alternative Asset Managers Etf FII Investimento No Exterior	EQUITY
CHIP11.SA	Investo Etf Bluestar 5G Communications Index Fundo De Indice - Investimento No Exterior	EQUITY
USTK11.SA	Investo ETF MSCI US Technology Fundo De Investimento De Indice – Investimento No Exterior	EQUITY
SVAL11.SA	Investo ETF S&P Smallcap 600 Value Fundo De Investimento De Indice - Investimento No Exterior	EQUITY
