código,nome,descrição,atualizado_em,Unidade,num_registros,primeira_data,ultima_data,intervalo_dias,valor_min,valor_max,media_valor,desvio_padrao_valor,media_frequencia,frequencia,status_atividade,status_download
16963,"PSBR, Flows accumulated in the year, Nominal interest, Internal, State enterprises with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Nominal interest, Internal State enterprises with Petrobras and Eletrobras.",2024-09-15 17:02:46,R$ (million)</p>,130.0,1991-02-01,2001-11-01,8354.0,-80.99,20187.88,2590.2343846153844,4216.323146934999,30.2,Mensal,Inativa,
16964,"PSBR, Flows accumulated in the year, Nominal interest, Internal, Federal government enterprises with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Nominal interest, Internal Federal government enterprises with Petrobras and Eletrobras.",2024-09-15 17:02:47,R$ (million)</p>,47.0,1998-01-01,2001-11-01,8354.0,-1061.2,697.89,-144.80106382978724,438.0999302533317,29.78723404255319,Mensal,Inativa,
16965,"PSBR, Flows accumulated in the year, Nominal interest, Internal, Consolidated public sector with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Nominal interest, Internal Consolidated public sector with Petrobras and Eletrobras.",2024-09-15 17:02:47,R$ (million)</p>,130.0,1991-02-01,2001-11-01,8354.0,1.19,102241.94,25754.22215384616,25758.30112605002,30.2,Mensal,Inativa,
16966,"PSBR, Flows accumulated in the year, Nominal interest, External, State enterprises with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Nominal interest, External State enterprises with Petrobras and Eletrobras.",2024-09-15 18:13:44,R$ (million)</p>,130.0,1991-02-01 00:00:00,2001-11-01 00:00:00,8354.0,0.02,2317.76,438.164076923077,517.5187393464345,30.2,Mensal,Inativa,
16967,"PSBR, Flows accumulated in the year, Nominal interest, External, Federal government enterprises with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Nominal interest, External Federal government enterprises with Petrobras and Eletrobras.",2024-09-15 17:02:58,R$ (million)</p>,47.0,1998-01-01,2001-11-01,8354.0,55.89,1938.06,644.7395744680853,508.0581766326504,29.78723404255319,Mensal,Inativa,
16968,"PSBR, Flows accumulated in the year, Nominal interest, External, Consolidated public sector with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Nominal interest, External Consolidated public sector with Petrobras and Eletrobras.",2024-09-15 17:02:59,R$ (million)</p>,130.0,1991-02-01,2001-11-01,8354.0,-244.87,13026.34,2235.1642307692305,2899.866928858928,30.2,Mensal,Inativa,
16969,"PSBR, Flows accumulated in the year, Primary result, Total, State enterprises with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Primary result, Total, State enterprises with Petrobras and Eletrobras.",2024-09-15 17:03:00,R$ (million)</p>,130.0,1991-02-01,2001-11-01,8354.0,-11700.47,3204.3,-1545.482769230769,2508.8595511991966,30.2,Mensal,Inativa,
16970,"PSBR, Flows accumulated in the year, Primary result, Total, Federal government enterprises with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Primary result, Total, Federal government enterprises with Petrobras and Eletrobras.",2024-09-15 17:03:00,R$ (million)</p>,71.0,1996-01-01,2001-11-01,8354.0,-10174.09,2283.43,-2192.1915492957746,2365.1538319016367,30.01408450704225,Mensal,Inativa,
16971,"PSBR, Flows accumulated in the year, Primary result, Total, Consolidated public sector with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Primary result, Total, Consolidated public sector with Petrobras and Eletrobras.",2024-09-15 17:03:01,R$ (million)</p>,130.0,1991-02-01,2001-11-01,8354.0,-46898.97,8309.49,-8019.574769230769,12207.193584217335,30.2,Mensal,Inativa,
16972,"PSBR, Flows accumulated in the year, Operational result, Total, State enterprises with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Operational result, Total, State enterprises with Petrobras and Eletrobras.",2024-09-15 17:03:02,R$ (million)</p>,130.0,1991-02-01,2001-11-01,8354.0,-9041.56,5690.28,-153.6834615384616,1957.190568437166,30.2,Mensal,Inativa,
16973,"PSBR, Flows accumulated in the year, Operational result, Total, Federal government enterprises with Petrobras and Eletrobras","<p>PSBR, Flows accumulated in the year, Operational result, Total, Federal government enterprises with Petrobras and Eletrobras.",2024-09-15 17:03:11,R$ (million)</p>,47.0,1998-01-01,2001-11-01,8354.0,-8621.51,2094.73,-1353.6948936170213,2074.891777842959,29.78723404255319,Mensal,Inativa,
